temperature,vibration_total,rpm,risk_level
40.32,0.496,1450,NORMAL
40.46,0.301,1450,NORMAL
47.7,0.579,1450,NORMAL
37.53,0.469,1450,NORMAL
36.77,0.504,1450,NORMAL
40.37,0.435,1450,NORMAL
42.35,0.525,1450,NORMAL
37.31,0.458,1450,NORMAL
43.01,0.394,1450,NORMAL
44.47,0.53,1450,NORMAL
43.94,0.542,1450,NORMAL
37.87,0.484,1450,NORMAL
39.01,0.391,1450,NORMAL
48.65,0.429,1450,NORMAL
39.43,0.499,1450,NORMAL
42.41,0.47,1450,NORMAL
35.59,0.512,1450,NORMAL
38.09,0.476,1450,NORMAL
43.75,0.438,1450,NORMAL
47.8,0.515,1450,NORMAL
35.39,0.371,1450,NORMAL
48.68,0.263,1450,NORMAL
44.03,0.3,1450,NORMAL
45.0,0.515,1450,NORMAL
44.57,0.605,1450,NORMAL
38.33,0.482,1450,NORMAL
44.42,0.434,1450,NORMAL
46.79,0.542,1450,NORMAL
43.46,0.408,1450,NORMAL
38.08,0.41,1450,NORMAL
38.8,0.549,1450,NORMAL
39.62,0.453,1450,NORMAL
38.57,0.499,1450,NORMAL
36.89,0.434,1450,NORMAL
44.09,0.438,1450,NORMAL
40.77,0.503,1450,NORMAL
41.34,0.475,1450,NORMAL
39.63,0.378,1450,NORMAL
44.21,0.466,1450,NORMAL
47.33,0.425,1450,NORMAL
40.86,0.473,1450,NORMAL
35.55,0.428,1450,NORMAL
39.77,0.412,1450,NORMAL
47.69,0.409,1450,NORMAL
46.93,0.454,1450,NORMAL
43.41,0.478,1450,NORMAL
43.05,0.388,1450,NORMAL
37.53,0.443,1450,NORMAL
41.0,0.525,1450,NORMAL
35.68,0.347,1450,NORMAL
41.11,0.521,1450,NORMAL
36.92,0.475,1450,NORMAL
38.22,0.285,1450,NORMAL
37.79,0.481,1450,NORMAL
41.27,0.374,1450,NORMAL
44.53,0.416,1450,NORMAL
43.37,0.488,1450,NORMAL
35.58,0.221,1450,NORMAL
36.44,0.403,1450,NORMAL
48.24,0.361,1450,NORMAL
48.38,0.492,1450,NORMAL
48.56,0.463,1450,NORMAL
41.47,0.478,1450,NORMAL
35.71,0.392,1450,NORMAL
43.48,0.576,1450,NORMAL
47.09,0.43,1450,NORMAL
42.56,0.39,1450,NORMAL
40.72,0.327,1450,NORMAL
