source_file,temperature,rpm,vibration_total,vibration_rms,vibration_mean,vibration_peak,vibration_std,risk_level
2004.02.12.10.32.39,0,0,0.084661,0.084661,-0.011864,1.023,0.083825,NORMAL
2004.02.12.10.42.39,0,0,0.086048,0.086048,-0.002848,0.752,0.086,NORMAL
2004.02.12.10.52.39,0,0,0.086336,0.086336,-0.002315,0.933,0.086305,NORMAL
2004.02.12.11.02.39,0,0,0.08705,0.08705,-0.00289,1.016,0.087002,NORMAL
2004.02.12.11.12.39,0,0,0.086657,0.086657,-0.001956,0.771,0.086635,NORMAL
2004.02.12.11.22.39,0,0,0.086564,0.086564,-0.001685,0.862,0.086548,NORMAL
2004.02.12.11.32.39,0,0,0.086173,0.086173,-0.002016,0.896,0.08615,NORMAL
2004.02.12.11.42.39,0,0,0.085306,0.085306,-0.001951,0.776,0.085284,NORMAL
2004.02.12.11.52.39,0,0,0.087727,0.087727,-0.001643,0.967,0.087711,NORMAL
2004.02.12.12.02.39,0,0,0.086363,0.086363,-0.002121,0.781,0.086337,NORMAL
2004.02.12.12.12.39,0,0,0.086104,0.086104,-0.002205,0.61,0.086076,NORMAL
2004.02.12.12.22.39,0,0,0.084676,0.084676,-0.002057,0.867,0.084651,NORMAL
2004.02.12.12.32.39,0,0,0.084844,0.084844,-0.00231,0.615,0.084813,NORMAL
2004.02.12.12.42.39,0,0,0.085936,0.085936,-0.001736,0.684,0.085919,NORMAL
2004.02.12.12.52.39,0,0,0.085294,0.085294,-0.002172,0.691,0.085266,NORMAL
2004.02.12.13.02.39,0,0,0.08556,0.08556,-0.001955,0.725,0.085538,NORMAL
2004.02.12.13.12.39,0,0,0.087014,0.087014,-0.001896,0.962,0.086993,NORMAL
2004.02.12.13.22.39,0,0,0.084455,0.084455,-0.001877,0.984,0.084434,NORMAL
2004.02.12.13.32.39,0,0,0.085503,0.085503,-0.002367,0.676,0.08547,NORMAL
2004.02.12.13.42.39,0,0,0.086231,0.086231,-0.001881,0.935,0.08621,NORMAL
2004.02.12.13.52.39,0,0,0.086046,0.086046,-0.00199,0.889,0.086023,NORMAL
2004.02.12.14.02.39,0,0,0.086466,0.086466,-0.001705,0.703,0.086449,NORMAL
2004.02.12.14.12.39,0,0,0.08597,0.08597,-0.001811,0.972,0.085951,NORMAL
2004.02.12.14.22.39,0,0,0.086462,0.086462,-0.002027,0.684,0.086438,NORMAL
2004.02.12.14.32.39,0,0,0.087282,0.087282,-0.002158,0.847,0.087255,NORMAL
2004.02.12.14.42.39,0,0,0.085791,0.085791,-0.002214,0.688,0.085763,NORMAL
2004.02.12.14.52.39,0,0,0.085897,0.085897,-0.002027,0.713,0.085874,NORMAL
2004.02.12.15.02.39,0,0,0.086148,0.086148,-0.00248,0.981,0.086112,NORMAL
2004.02.12.15.12.39,0,0,0.085863,0.085863,-0.002002,0.728,0.085839,NORMAL
2004.02.12.15.22.39,0,0,0.085834,0.085834,-0.002168,0.776,0.085806,NORMAL
2004.02.12.15.32.39,0,0,0.085362,0.085362,-0.002315,0.64,0.085331,NORMAL
2004.02.12.15.42.39,0,0,0.086131,0.086131,-0.002062,0.679,0.086106,NORMAL
2004.02.12.15.52.39,0,0,0.085219,0.085219,-0.002307,0.684,0.085188,NORMAL
2004.02.12.16.02.39,0,0,0.086653,0.086653,-0.002389,0.876,0.08662,NORMAL
2004.02.12.16.12.39,0,0,0.08729,0.08729,-0.00176,0.657,0.087272,NORMAL
2004.02.12.16.22.39,0,0,0.084934,0.084934,-0.001899,0.825,0.084913,NORMAL
2004.02.12.16.32.39,0,0,0.085889,0.085889,-0.001952,0.754,0.085867,NORMAL
2004.02.12.16.42.39,0,0,0.086446,0.086446,-0.002143,0.764,0.086419,NORMAL
2004.02.12.16.52.39,0,0,0.086322,0.086322,-0.002274,0.798,0.086292,NORMAL
2004.02.12.17.02.39,0,0,0.086804,0.086804,-0.002342,0.989,0.086773,NORMAL
2004.02.12.17.12.39,0,0,0.087023,0.087023,-0.002228,0.845,0.086994,NORMAL
2004.02.12.17.22.39,0,0,0.085771,0.085771,-0.001697,0.752,0.085754,NORMAL
2004.02.12.17.32.39,0,0,0.084706,0.084706,-0.001844,0.654,0.084686,NORMAL
2004.02.12.17.42.39,0,0,0.084439,0.084439,-0.002044,0.61,0.084414,NORMAL
2004.02.12.17.52.39,0,0,0.086598,0.086598,-0.002347,1.057,0.086566,NORMAL
2004.02.12.18.02.39,0,0,0.085091,0.085091,-0.002344,0.82,0.085059,NORMAL
2004.02.12.18.12.39,0,0,0.086601,0.086601,-0.001897,0.745,0.08658,NORMAL
2004.02.12.18.22.39,0,0,0.085694,0.085694,-0.002265,0.613,0.085664,NORMAL
2004.02.12.18.32.39,0,0,0.085803,0.085803,-0.002191,0.667,0.085775,NORMAL
2004.02.12.18.42.39,0,0,0.084405,0.084405,-0.001889,0.696,0.084384,NORMAL
2004.02.12.18.52.39,0,0,0.086054,0.086054,-0.002353,0.698,0.086022,NORMAL
2004.02.12.19.02.39,0,0,0.08555,0.08555,-0.002061,0.942,0.085525,NORMAL
2004.02.12.19.12.39,0,0,0.085644,0.085644,-0.001948,0.664,0.085622,NORMAL
2004.02.12.19.22.39,0,0,0.085183,0.085183,-0.002319,0.671,0.085151,NORMAL
2004.02.12.19.32.39,0,0,0.084906,0.084906,-0.002444,0.688,0.084871,NORMAL
2004.02.12.19.42.39,0,0,0.086101,0.086101,-0.002352,0.71,0.086069,NORMAL
2004.02.12.19.52.39,0,0,0.085323,0.085323,-0.00203,0.964,0.085298,NORMAL
2004.02.12.20.02.39,0,0,0.08455,0.08455,-0.002048,0.747,0.084525,NORMAL
2004.02.12.20.12.39,0,0,0.083663,0.083663,-0.002399,0.706,0.083628,NORMAL
2004.02.12.20.22.39,0,0,0.086041,0.086041,-0.001921,0.645,0.086019,NORMAL
2004.02.12.20.32.39,0,0,0.086154,0.086154,-0.001726,1.135,0.086137,NORMAL
2004.02.12.20.42.39,0,0,0.085157,0.085157,-0.002297,0.618,0.085126,NORMAL
2004.02.12.20.52.39,0,0,0.085799,0.085799,-0.002264,0.586,0.085769,NORMAL
2004.02.12.21.02.39,0,0,0.084662,0.084662,-0.00216,0.698,0.084634,NORMAL
2004.02.12.21.12.39,0,0,0.085379,0.085379,-0.001963,0.981,0.085356,NORMAL
2004.02.12.21.22.39,0,0,0.084578,0.084578,-0.001962,0.618,0.084555,NORMAL
2004.02.12.21.32.39,0,0,0.085389,0.085389,-0.001887,0.718,0.085368,NORMAL
2004.02.12.21.42.39,0,0,0.085201,0.085201,-0.001688,0.886,0.085184,NORMAL
2004.02.12.21.52.39,0,0,0.084933,0.084933,-0.002182,0.762,0.084905,NORMAL
2004.02.12.22.02.39,0,0,0.085291,0.085291,-0.002033,1.055,0.085266,NORMAL
2004.02.12.22.12.39,0,0,0.084241,0.084241,-0.002396,0.823,0.084207,NORMAL
2004.02.12.22.22.39,0,0,0.085956,0.085956,-0.001963,0.847,0.085933,NORMAL
2004.02.12.22.32.39,0,0,0.085449,0.085449,-0.002502,0.779,0.085413,NORMAL
2004.02.12.22.42.39,0,0,0.086066,0.086066,-0.001538,0.754,0.086052,NORMAL
2004.02.12.22.52.39,0,0,0.086703,0.086703,-0.001832,0.801,0.086683,NORMAL
2004.02.12.23.02.39,0,0,0.084596,0.084596,-0.002193,0.728,0.084567,NORMAL
2004.02.12.23.12.39,0,0,0.085463,0.085463,-0.001987,0.601,0.08544,NORMAL
2004.02.12.23.22.39,0,0,0.085259,0.085259,-0.00216,0.781,0.085232,NORMAL
2004.02.12.23.32.39,0,0,0.08333,0.08333,-0.001644,0.686,0.083314,NORMAL
2004.02.12.23.42.39,0,0,0.08593,0.08593,-0.001591,0.759,0.085915,NORMAL
2004.02.12.23.52.39,0,0,0.085058,0.085058,-0.001884,1.069,0.085037,NORMAL
2004.02.13.00.02.39,0,0,0.08386,0.08386,-0.00211,0.728,0.083834,NORMAL
2004.02.13.00.12.39,0,0,0.084977,0.084977,-0.002543,0.771,0.084939,NORMAL
2004.02.13.00.22.39,0,0,0.083783,0.083783,-0.00227,0.886,0.083752,NORMAL
2004.02.13.00.32.39,0,0,0.084484,0.084484,-0.0022,0.708,0.084455,NORMAL
2004.02.13.00.42.39,0,0,0.084469,0.084469,-0.002158,0.667,0.084442,NORMAL
2004.02.13.00.52.39,0,0,0.084407,0.084407,-0.002691,0.889,0.084364,NORMAL
2004.02.13.01.02.39,0,0,0.083517,0.083517,-0.001854,0.691,0.083497,NORMAL
2004.02.13.01.12.39,0,0,0.086003,0.086003,-0.001682,0.94,0.085986,NORMAL
2004.02.13.01.22.39,0,0,0.085574,0.085574,-0.001991,0.642,0.085551,NORMAL
2004.02.13.01.32.39,0,0,0.085133,0.085133,-0.002162,0.701,0.085105,NORMAL
2004.02.13.01.42.39,0,0,0.084797,0.084797,-0.001772,1.26,0.084779,NORMAL
2004.02.13.01.52.39,0,0,0.085051,0.085051,-0.001469,0.754,0.085038,NORMAL
2004.02.13.02.02.39,0,0,0.084014,0.084014,-0.002209,0.759,0.083985,NORMAL
2004.02.13.02.12.39,0,0,0.085876,0.085876,-0.002173,0.818,0.085849,NORMAL
2004.02.13.02.22.39,0,0,0.084607,0.084607,-0.001755,0.61,0.084588,NORMAL
2004.02.13.02.32.39,0,0,0.085222,0.085222,-0.001965,0.618,0.085199,NORMAL
2004.02.13.02.42.39,0,0,0.084643,0.084643,-0.002115,0.698,0.084616,NORMAL
2004.02.13.02.52.39,0,0,0.0845,0.0845,-0.002163,0.957,0.084473,NORMAL
2004.02.13.03.02.39,0,0,0.084585,0.084585,-0.002124,0.964,0.084559,NORMAL
2004.02.13.03.12.39,0,0,0.084651,0.084651,-0.001995,0.718,0.084628,NORMAL
2004.02.13.03.22.39,0,0,0.084408,0.084408,-0.001889,0.764,0.084387,NORMAL
2004.02.13.03.32.39,0,0,0.084954,0.084954,-0.001734,0.92,0.084936,NORMAL
2004.02.13.03.42.39,0,0,0.084326,0.084326,-0.002071,0.776,0.0843,NORMAL
2004.02.13.03.52.39,0,0,0.084573,0.084573,-0.002138,0.654,0.084546,NORMAL
2004.02.13.04.02.39,0,0,0.085243,0.085243,-0.001947,0.637,0.085221,NORMAL
2004.02.13.04.12.39,0,0,0.084323,0.084323,-0.001934,0.898,0.0843,NORMAL
2004.02.13.04.22.39,0,0,0.084989,0.084989,-0.001926,0.798,0.084967,NORMAL
2004.02.13.04.32.39,0,0,0.084166,0.084166,-0.001998,0.884,0.084142,NORMAL
2004.02.13.04.42.39,0,0,0.085022,0.085022,-0.001942,0.764,0.085,NORMAL
2004.02.13.04.52.39,0,0,0.084741,0.084741,-0.001653,0.774,0.084725,NORMAL
2004.02.13.05.02.39,0,0,0.083924,0.083924,-0.001644,0.908,0.083908,NORMAL
2004.02.13.05.12.39,0,0,0.086115,0.086115,-0.00197,0.662,0.086093,NORMAL
2004.02.13.05.22.39,0,0,0.084133,0.084133,-0.002135,0.627,0.084106,NORMAL
